Idioma,Grupo,Ruta,Incidencias dimensiones,Correcciones dimensiones,No-imagen auditoría,Decisión operativa
ES,BIKE,es/bike/index.html,1,rsb-bike-rental-shop-olympic-village-barcelona.webp: 1200x675 -> 480x720,RSB-003,No cambiar HTML/key; API restringida confirmada
ES,BLOG_50CC_VS_125CC,es/blog/50cc-vs-125cc-scooter-rental-barcelona/index.html,1,rsb-scooter-rental-barcelona-vila-olimpica-800.webp: 1600x900 -> 800x936,Ninguno,Sin cambio no-imagen
ES,BLOG_BEGINNER_INLINE,es/blog/patinar-en-barcelona-principiantes/index.html,0,Ninguna,Ninguno,Sin cambio no-imagen
ES,BLOG_BEST_ROUTES,es/blog/best-rollerblading-routes-barcelona/index.html,1,rsb-inline-skates-rental-barcelona-vila-olimpica-800.webp: 1600x900 -> 800x533,Ninguno,Sin cambio no-imagen
ES,BLOG_BIKE,es/blog/bike/index.html,1,rsb-bike-rental-barcelona-vila-olimpica-800.webp: 1600x900 -> 800x533,RSB-003,No cambiar HTML/key; API restringida confirmada
ES,BLOG_HOURLY_INLINE_RENTAL,es/blog/alquiler-patines-linea-barcelona-por-horas/index.html,0,Ninguna,Ninguno,Sin cambio no-imagen
ES,BLOG_INDEX,es/blog/index.html,1,rsb-barcelona-rental-hero-group-beach-1600-v1.webp: 1600x900 -> 1600x874,Ninguno,Sin cambio no-imagen
ES,BLOG_INLINE_SKATES,es/blog/inline-skates/index.html,1,rsb-inline-skates-rental-barcelona-vila-olimpica-800.webp: 1600x900 -> 800x533,RSB-003,No cambiar HTML/key; API restringida confirmada
ES,BLOG_LONGBOARD,es/blog/longboard/index.html,1,rsb-longboard-rental-barcelona-vila-olimpica-800.webp: 1600x900 -> 800x478,RSB-003,No cambiar HTML/key; API restringida confirmada
ES,BLOG_ROLLER_SKATES,es/blog/roller-skates/index.html,1,rsb-quad-skates-rental-barcelona-vila-olimpica-800.webp: 1600x900 -> 800x533,RSB-003,No cambiar HTML/key; API restringida confirmada
ES,BLOG_SCOOTER,es/blog/scooter/index.html,1,rsb-scooter-rental-barcelona-vila-olimpica-800.webp: 1600x900 -> 800x936,RSB-003,No cambiar HTML/key; API restringida confirmada
ES,BLOG_SKATEBOARD,es/blog/skateboard/index.html,1,rsb-skateboard-rental-barcelona-vila-olimpica-800.webp: 1600x900 -> 800x360,RSB-003,No cambiar HTML/key; API restringida confirmada
ES,HOME,es/index.html,9,rsb-barcelona-rental-hero-group-beach-1600-v1.webp: 1600x900 -> 1600x874 | 9.webp: 800x600 -> 300x300 | skateboards-rental-barcelona.webp: 800x600 -> 514x510 | 2.webp: 800x600 -> 400x400 | rsb-barcelona-rental-rsb-villa-olimpica-del-poble-nou--rent-skateboard-barcelona-soleado-800-v1.webp: 800x600 -> 800x1200 | 9.webp: 800x600 -> 300x300 | skateboards-rental-barcelona.webp: 800x600 -> 514x510 | 2.webp: 800x600 -> 400x400 | rsb-barcelona-rental-rsb-villa-olimpica-del-poble-nou--rent-skateboard-barcelona-soleado-800-v1.webp: 800x600 -> 800x1200,RSB-003,No cambiar HTML/key; API restringida confirmada
ES,LOCATION_CONTACT,es/location-contact/index.html,1,rsb-rental-scooter-barcelona-shop-vila-olimpica.webp: 1200x800 -> 585x594,RSB-003,No cambiar HTML/key; API restringida confirmada
ES,LONGBOARD,es/longboard/index.html,3,rsb-longboard-rental-barcelona-hero-group-beach-1600-v1.webp: 1600x900 -> 1600x1066 | rsb-longboard-rental-barcelona-vila-olimpica-800.webp: 1200x675 -> 800x478 | rsb-bike-rental-shop-olympic-village-barcelona.webp: 1200x675 -> 480x720,RSB-003,No cambiar HTML/key; API restringida confirmada
ES,PRICES,es/Prices/index.html,6,rsb-barcelona-rental-hero-group-beach-800-v1.webp: 800x449 -> 800x437 | rsb-scooter-rental-barcelona-vila-olimpica-800.webp: 800x533 -> 800x936 | rsb-skateboard-rental-barcelona-vila-olimpica-800.webp: 800x533 -> 800x360 | rsb-barcelona-rental-shop-interior-inline-skates-bike-vila-olimpica-640.webp: 1200x800 -> 640x336 | rsb-bike-rental-shop-olympic-village-barcelona.webp: 1200x675 -> 480x720 | rsb-barcelona-rental-hero-group-beach-800-v1.webp: 1600x899 -> 800x437,RSB-003,No cambiar HTML/key; API restringida confirmada
ES,QUADS,es/quads/index.html,1,rsb-bike-rental-shop-olympic-village-barcelona.webp: 1200x675 -> 480x720,RSB-003,No cambiar HTML/key; API restringida confirmada
ES,ROLLERBLADES,es/rollerblades/index.html,3,rsb-rollerblades-rental-barcelona-hero-group-beach-1600-v1.webp: 1600x900 -> 1600x874 | rsb-rollerblades-rental-barcelona-hero-group-beach-1600-v1.webp: 1600x900 -> 1600x874 | rsb-bike-rental-shop-olympic-village-barcelona.webp: 1200x675 -> 480x720,RSB-003,No cambiar HTML/key; API restringida confirmada
ES,SCOOTER,es/scooter/index.html,2,rsb-scooter-rental-barcelona-hero-group-v1-1536.webp: 1536x864 -> 1536x672 | rsb-rental-scooter-barcelona-shop-vila-olimpica.webp: 1200x675 -> 585x594,RSB-003,No cambiar HTML/key; API restringida confirmada
ES,SKATEBOARD,es/skateboard/index.html,3,rsb-skateboard-rental-barcelona-hero-group-beach-1600-v1.webp: 1600x900 -> 1600x1066 | rsb-skateboard-rental-barcelona-vila-olimpica-800.webp: 1200x675 -> 800x360 | rsb-bike-rental-shop-olympic-village-barcelona.webp: 1200x675 -> 480x720,RSB-003,No cambiar HTML/key; API restringida confirmada
